0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Lat,50.0th-qrtle-1,46.6667,33,39,6,49
Lat,75.0th-qrtle-1,47.6667,36,41,6,51
Lat,90.0th-qrtle-1,49.3333,39,46,12,52
Lat,95.0th-qrtle-1,50.3333,41,59,16,54
Lat,99.0th-qrtle-1,53.6667,55,66,29,56
Lat,99.5th-qrtle-1,53.6667,60,67,29,56
Lat,99.9th-qrtle-1,53.6667,60,82,29,56
Lat,50.0th-qrtle-2,52.3333,36,43,12,49
Lat,75.0th-qrtle-2,61.3333,42,49,35,52
Lat,90.0th-qrtle-2,62.6667,44,55,337,3452
Lat,95.0th-qrtle-2,63.3333,52,60,3820,4296
Lat,99.0th-qrtle-2,66,63,498,9488,9744
Lat,99.5th-qrtle-2,68.3333,65,1013,10192,11568
Lat,99.9th-qrtle-2,68.3333,65,1330,10192,11568
Lat,50.0th-qrtle-3,61.3333,41,49,15,45
Lat,75.0th-qrtle-3,63.6667,46,55,34,1794
Lat,90.0th-qrtle-3,65.6667,50,67,4456,8656
Lat,95.0th-qrtle-3,68,61,376,10416,10416
Lat,99.0th-qrtle-3,71.6667,3924,5848,12688,11440
Lat,99.5th-qrtle-3,72.6667,7656,7688,12720,12688
Lat,99.9th-qrtle-3,77.3333,10736,11856,12720,12688
