0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,1,6.23,6.22,6.24,6.24,7.41
Min,3,6.24,6.22,6.24,6.26,7.37
Min,5,6.23,6.23,6.24,6.28,7.31
Min,7,6.22667,6.23,6.24,6.25,7.36
Min,8,6.22333,6.23,6.24,6.23,7.33
Amean,1,6.24667,6.24714285714286,6.26,6.4,7.63142857142857
Amean,3,6.25095,6.25714285714286,6.25714285714286,6.35285714285714,7.57285714285714
Amean,5,6.24571,6.25857142857143,6.26285714285714,6.4,7.41857142857143
Amean,7,6.24762,6.24,6.25285714285714,6.42857142857143,7.47857142857143
Amean,8,6.24333,6.24857142857143,6.25571428571428,6.34142857142857,7.43142857142857
Stddev,1,0.015348,0.0262769136406121,0.0163299316185544,0.178232058470598,0.264665107348171
Stddev,3,0.0109627,0.0262769136406122,0.0160356745147451,0.0715807901870992,0.251377159245776
Stddev,5,0.0152909,0.0134518541826907,0.0125356634105599,0.103601801786134,0.0784067538393159
Stddev,7,0.0177053,0.0141421356237307,0.0160356745147451,0.183069073615086,0.134341427145981
Stddev,8,0.0172218,0.0146385010942277,0.0139727626201151,0.0821438923330214,0.0630947888573406
CoeffVar,1,0.245696,0.420622903005453,0.260861527452945,2.78487591360309,3.46809388138749
CoeffVar,3,0.175451,0.419950674621656,0.256277903203689,1.12674956444726,3.31944937694856
CoeffVar,5,0.244825,0.214934899061481,0.200158859201458,1.61877815290834,1.05689828013713
CoeffVar,7,0.283367,0.226636788841837,0.256453556324459,2.84774114512356,1.79635146135983
CoeffVar,8,0.275862,0.234269564836749,0.223359987076515,1.29535311180705,0.849026378318693
Max,1,6.26333,6.3,6.28,6.74,8.17
Max,3,6.26667,6.29,6.27,6.43,8.06
Max,5,6.26,6.27,6.27,6.54,7.53
Max,7,6.26667,6.26,6.27,6.8,7.75
Max,8,6.26,6.26,6.27,6.47,7.51
BAmean-50,1,6.23333,6.23,6.24333333333333,6.27666666666667,7.44666666666667
BAmean-50,3,6.24444,6.23333333333333,6.24,6.28333333333333,7.40333333333333
BAmean-50,5,6.23111,6.25,6.25333333333333,6.30666666666667,7.35
BAmean-50,7,6.23222,6.23,6.24,6.31,7.39666666666667
BAmean-50,8,6.22556,6.23333333333333,6.24333333333333,6.26666666666667,7.37
BAmean-95,1,6.24389,6.23833333333333,6.25666666666667,6.34333333333333,7.54166666666667
BAmean-95,3,6.24833,6.25166666666667,6.255,6.34,7.49166666666667
BAmean-95,5,6.24333,6.25666666666667,6.26166666666667,6.37666666666667,7.4
BAmean-95,7,6.24444,6.23666666666667,6.25,6.36666666666667,7.43333333333333
BAmean-95,8,6.24056,6.24666666666667,6.25333333333333,6.32,7.41833333333333
BAmean-99,1,6.24389,6.23833333333333,6.25666666666667,6.34333333333333,7.54166666666667
BAmean-99,3,6.24833,6.25166666666667,6.255,6.34,7.49166666666667
BAmean-99,5,6.24333,6.25666666666667,6.26166666666667,6.37666666666667,7.4
BAmean-99,7,6.24444,6.23666666666667,6.25,6.36666666666667,7.43333333333333
BAmean-99,8,6.24056,6.24666666666667,6.25333333333333,6.32,7.41833333333333
