0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,unixbench-dhry2reg-1,3.59071e+07,35409279.8,35669152.9,35110827.5,35474907.5
Min,unixbench-dhry2reg-8,1.43734e+08,142559254.6,143133123.3,104522304.6,107919136.8
Hmean,unixbench-dhry2reg-1,3.60244e+07,35591701.0532568,35770106.4532531,35330473.813255,35569842.5016924
Hmean,unixbench-dhry2reg-8,1.43885e+08,142887723.657605,143224819.750253,106006467.860833,108100970.750236
Stddev,unixbench-dhry2reg-1,145547,171726.344246278,155498.384600966,223678.188712944,120773.368815328
Stddev,unixbench-dhry2reg-8,166672,299524.158975695,80023.4054557951,1408108.52639999,256250.475598546
CoeffVar,unixbench-dhry2reg-1,0.40396,0.482482352048503,0.434710560833794,0.633085802087701,0.339536060625123
CoeffVar,unixbench-dhry2reg-8,0.115821,0.20962142390914,0.0558725707849647,1.32816656763333,0.237046453039522
Max,unixbench-dhry2reg-1,3.61876e+07,35749924.7,35949584.5,35558061.0,35705967.9
Max,unixbench-dhry2reg-8,1.44058e+08,143145264.8,143280380.4,107317542.3,108394376.0
BHmean-50,unixbench-dhry2reg-1,3.61876e+07,35749924.7,35949584.5,35558061,35705967.9
BHmean-50,unixbench-dhry2reg-8,1.44058e+08,143145264.8,143280380.4,107317542.3,108394376
BHmean-95,unixbench-dhry2reg-1,3.60834e+07,35683618.3474866,35820797.8283927,35441330.7509947,35617500.800714
BHmean-95,unixbench-dhry2reg-8,1.4396e+08,143052526.457274,143270712.047638,106764468.27993,108192117.699374
BHmean-99,unixbench-dhry2reg-1,3.60834e+07,35683618.3474866,35820797.8283927,35441330.7509947,35617500.800714
BHmean-99,unixbench-dhry2reg-8,1.4396e+08,143052526.457274,143270712.047638,106764468.27993,108192117.699374
