0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,unixbench-spawn-1,8401.43,7752.5,7554.2,3484.4,3568.8
Min,unixbench-spawn-8,28624.1,27862.5,27878.6,15078.4,13881.6
Hmean,unixbench-spawn-1,8520.44,7917.762644459,7724.57436067018,3533.49697646703,3801.64300674058
Hmean,unixbench-spawn-8,28750,28057.3894403483,27898.0408889989,15654.5351980421,14689.5091488538
Stddev,unixbench-spawn-1,113.955,151.163619961947,168.667078392119,49.9033399015869,265.795040084147
Stddev,unixbench-spawn-8,121.702,172.675331185437,32.8550351290847,587.430100806329,1034.5124519953
CoeffVar,unixbench-spawn-1,1.33977,1.90870386456491,2.18281805081018,1.41210556319868,6.96923585414885
CoeffVar,unixbench-spawn-8,0.423098,0.615420613603333,0.117768143296972,3.7489396469493,7.01998949555736
Max,unixbench-spawn-1,8608.77,8046.7,7891.2,3584.2,4096.4
Max,unixbench-spawn-8,28857.7,28189.4,27936.0,16253.2,15886.6
BHmean-50,unixbench-spawn-1,8608.77,8046.7,7891.2,3584.2,4096.4
BHmean-50,unixbench-spawn-8,28857.7,28189.4,27936,16253.2,15886.6
BHmean-95,unixbench-spawn-1,8581.47,8003.06465208102,7812.67632607875,3558.56799719002,3929.84244795305
BHmean-95,unixbench-spawn-8,28813.6,28155.8601415689,27907.7715047406,15959.4346584485,15129.785935295
BHmean-99,unixbench-spawn-1,8581.47,8003.06465208102,7812.67632607875,3558.56799719002,3929.84244795305
BHmean-99,unixbench-spawn-8,28813.6,28155.8601415689,27907.7715047406,15959.4346584485,15129.785935295
