0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min unixbench-execl-1 2795.2 2735.1 2632.5 2669.2 2595.4
Min unixbench-execl-8 10467 10284.2 9957.2 7294.9 7204.1
Hmean unixbench-execl-1 2804.17 2744.31400321403 2640.08721235398 2685.35083048661 2608.86196293496
Hmean unixbench-execl-8 10498 10306.4088734688 9988.4358355663 7430.66180801155 7385.39402728506
Stddev unixbench-execl-1 8.71276 8.91870693168774 7.11407056473291 14.0524019299194 12.1897497923459
Stddev unixbench-execl-8 28.3384 19.436134732331 31.0043545328717 158.492302652211 202.358156083053
CoeffVar unixbench-execl-1 0.31075 0.324986284404995 0.269462162976134 0.523288967376161 0.467237141797153
CoeffVar unixbench-execl-8 0.269038 0.188582549401161 0.310400505910514 2.13230774868774 2.73861592013948
Max unixbench-execl-1 2812.33 2752.9 2646.6 2694.3 2619.1
Max unixbench-execl-8 10520.5 10320.2 10019.2 7606.0 7605.2
BHmean-50 unixbench-execl-1 2812.33 2752.9 2646.6 2694.3 2619.1
BHmean-50 unixbench-execl-8 10520.5 10320.2 10019.2 7606 7605.2
BHmean-95 unixbench-execl-1 2808.68 2748.94432419651 2643.89724270963 2693.49976239094 2615.64544950586
BHmean-95 unixbench-execl-8 10513.6 10317.5493193636 10004.127359146 7500.45545795065 7479.50639640182
BHmean-99 unixbench-execl-1 2808.68 2748.94432419651 2643.89724270963 2693.49976239094 2615.64544950586
BHmean-99 unixbench-execl-8 10513.6 10317.5493193636 10004.127359146 7500.45545795065 7479.50639640182
