0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min unixbench-pipe-1 715107 718206.3 717000.1 699557.5 716862.1
Min unixbench-pipe-8 2.85919e+06 2870630.4 2867000.9 2136827.0 2150657.4
Hmean unixbench-pipe-1 715437 718854.639603631 717159.306108371 707177.121837044 717578.586549034
Hmean unixbench-pipe-8 2.86021e+06 2872077.28000573 2867999.1240028 2151081.66333376 2171584.96023862
Stddev unixbench-pipe-1 340.414 1000.21009959574 171.138141083003 6636.61885475829 667.024759660421
Stddev unixbench-pipe-8 1009.78 1397.45509528329 1021.74568916797 15364.9272195911 20095.0056499122
CoeffVar unixbench-pipe-1 0.0475372 0.139139229905907 0.0238633359601637 0.938410889126679 0.092954888543341
CoeffVar unixbench-pipe-8 0.035348 0.0486565902818166 0.035625729246778 0.714264156896903 0.925308350455969
Max unixbench-pipe-1 715746 720007.4 717340.3 711198.9 718181.3
Max unixbench-pipe-8 2.86117e+06 2873419.3 2869042.9 2167380.5 2190686.5
BHmean-50 unixbench-pipe-1 715746 720007.4 717340.3 711198.9 718181.3
BHmean-50 unixbench-pipe-8 2.86117e+06 2873419.3 2869042.9 2167380.5 2190686.5
BHmean-95 unixbench-pipe-1 715602 719179.248555786 717238.935678661 711049.518630284 717937.367175483
BHmean-95 unixbench-pipe-8 2.86071e+06 2872801.26709822 2868498.49671862 2158280.55277583 2182202.21809943
BHmean-99 unixbench-pipe-1 715602 719179.248555786 717238.935678661 711049.518630284 717937.367175483
BHmean-99 unixbench-pipe-8 2.86071e+06 2872801.26709822 2868498.49671862 2158280.55277583 2182202.21809943
