0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min unixbench-syscall-1 396379 398663.5 398575.7 394041.8 397721.2
Min unixbench-syscall-8 1.51081e+06 1522700.7 1508601.8 1129078.8 1128839.5
Amean unixbench-syscall-1 397121 398954.266666667 398974.533333333 395480.033333333 398949.1
Amean unixbench-syscall-8 1.51181e+06 1523143 1508728.96666667 1136814 1138808.83333333
Stddev unixbench-syscall-1 835.952 458.40619905641 538.587581859565 1245.7295707068 1457.91317642719
Stddev unixbench-syscall-8 1004.83 387.706035547603 179.503713982005 11900.4167191742 10364.61265959
CoeffVar unixbench-syscall-1 0.210756 0.114901941740459 0.134992972448592 0.314991773467568 0.365438392122501
CoeffVar unixbench-syscall-8 0.0665248 0.025454342471298 0.0118976779758258 1.04682179487358 0.910127525903748
Max unixbench-syscall-1 397984 399482.7 399587.2 396220.5 400560.4
Max unixbench-syscall-8 1512718 1523424.1 1508934.3 1150517.5 1149528.0
BAmean-50 unixbench-syscall-1 396379 398663.5 398575.7 394041.8 397721.2
BAmean-50 unixbench-syscall-8 1.51081e+06 1522700.7 1508601.8 1129078.8 1128839.5
BAmean-95 unixbench-syscall-1 396690 398690.05 398668.2 395109.8 398143.45
BAmean-95 unixbench-syscall-8 1.51136e+06 1523002.45 1508626.3 1129962.25 1133449.25
BAmean-99 unixbench-syscall-1 396690 398690.05 398668.2 395109.8 398143.45
BAmean-99 unixbench-syscall-8 1.51136e+06 1523002.45 1508626.3 1129962.25 1133449.25
