0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,unixbench-fsbuffer-r-1,339169,339964.4,339828.1,341493.4,339483.2
Min,unixbench-fsbuffer-r-8,1.34278e+06,1351190.4,1347422.5,1024118.4,1031718.5
Hmean,unixbench-fsbuffer-r-1,339332,340193.235657753,340165.30509901,341721.330164024,340103.325799247
Hmean,unixbench-fsbuffer-r-8,1.34751e+06,1351843.19406619,1351838.77319155,1028278.96300027,1044826.00757011
Stddev,unixbench-fsbuffer-r-1,172.221,289.64454077368,341.262367297276,264.550190575112,1021.25487677333
Stddev,unixbench-fsbuffer-r-8,5043.58,829.544214212416,7546.39045261595,3610.87849467872,11633.9419945835
CoeffVar,unixbench-fsbuffer-r-1,0.0506488,0.0851411405317327,0.100322441240062,0.0774169071541438,0.300276025274912
CoeffVar,unixbench-fsbuffer-r-8,0.373604,0.0613639222112452,0.558219984297956,0.351154587484705,1.11338875583244
Max,unixbench-fsbuffer-r-1,339508,340519.0,340510.5,342011.5,341284.0
Max,unixbench-fsbuffer-r-8,1.35224e+06,1352776.9,1360580.0,1030425.0,1053696.5
BHmean-50,unixbench-fsbuffer-r-1,339508,340519,340510.5,342011.5,341284
BHmean-50,unixbench-fsbuffer-r-8,1.35224e+06,1352776.9,1360580,1030425,1053696.5
BHmean-95,unixbench-fsbuffer-r-1,339414,340307.769050322,340334.158724842,341835.409383314,340414.239052196
BHmean-95,unixbench-fsbuffer-r-8,1.34989e+06,1352169.82769237,1354057.78359456,1030371.94726865,1051505.45341247
BHmean-99,unixbench-fsbuffer-r-1,339414,340307.769050322,340334.158724842,341835.409383314,340414.239052196
BHmean-99,unixbench-fsbuffer-r-8,1.34989e+06,1352169.82769237,1354057.78359456,1030371.94726865,1051505.45341247
