0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,unixbench-fsdisk-r-1,4.29737e+06,4115295.4,4250577.5,4082827.0,4203054.9
Min,unixbench-fsdisk-r-8,1.531e+07,15059616.1,15455839.3,12013776.3,12265126.9
Hmean,unixbench-fsdisk-r-1,4.3188e+06,4147227.92437633,4253970.41222675,4156079.48777869,4219687.25979986
Hmean,unixbench-fsdisk-r-8,1.54167e+07,15256483.4878417,15694066.8187644,12152198.2330462,12475863.1836229
Stddev,unixbench-fsdisk-r-1,21955.5,35953.961764781,5883.83447195255,70662.7954684312,20220.3456632997
Stddev,unixbench-fsdisk-r-8,126255,187452.519407245,213743.509302247,226704.797348321,185094.136626852
CoeffVar,unixbench-fsdisk-r-1,0.508732,0.866896280279812,0.138313772867442,1.69989880722066,0.479183301320121
CoeffVar,unixbench-fsdisk-r-8,0.831955,1.22855055310583,1.36176891694944,1.86511750699163,1.48339844339251
Max,unixbench-fsdisk-r-1,4.33921e+06,4186263.9,4260769.9,4223576.2,4242234.3
Max,unixbench-fsdisk-r-8,1.55507e+07,15432156.5,15865318.1,12416484.6,12603145.7
BHmean-50,unixbench-fsdisk-r-1,4.33921e+06,4186263.9,4260769.9,4223576.2,4242234.3
BHmean-50,unixbench-fsdisk-r-8,1.55507e+07,15432156.5,15865318.1,12416484.6,12603145.7
BHmean-95,unixbench-fsdisk-r-1,4.3296e+06,4163380.74503762,4255668.90037867,4193700.35488791,4228052.90083628
BHmean-95,unixbench-fsdisk-r-8,1.54707e+07,15356860.0480085,15815955.894358,12222612.2968156,12583970.4699017
BHmean-99,unixbench-fsdisk-r-1,4.3296e+06,4163380.74503762,4255668.90037867,4193700.35488791,4228052.90083628
BHmean-99,unixbench-fsdisk-r-8,1.54707e+07,15356860.0480085,15815955.894358,12222612.2968156,12583970.4699017
