0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,unixbench-fsdisk-w-1,1.50718e+06,1474276.9,1486843.8,1516839.4,1442030.9
Min,unixbench-fsdisk-w-8,1.28486e+06,1170099.7,1178892.3,1106333.9,1148871.0
Hmean,unixbench-fsdisk-w-1,1.5119e+06,1481722.80999932,1495246.79548961,1518147.34433865,1450902.72533508
Hmean,unixbench-fsdisk-w-8,1.29255e+06,1184346.87981685,1181019.7999387,1114916.41844213,1159795.62016416
Stddev,unixbench-fsdisk-w-1,4761.44,6797.77989959475,8136.87678248433,2216.54206592163,7857.36662650627
Stddev,unixbench-fsdisk-w-8,7207.68,12461.3929971733,2729.17747132713,7717.44936124198,9511.50603497332
CoeffVar,unixbench-fsdisk-w-1,0.313876,0.458768962907737,0.544172110605487,0.146002884822715,0.54153958554475
CoeffVar,unixbench-fsdisk-w-8,0.558093,1.05209615566626,0.231085691004343,0.692177639785252,0.820064967857278
Max,unixbench-fsdisk-w-1,1.51643e+06,1487573.6,1503081.2,1520708.7,1456906.8
Max,unixbench-fsdisk-w-8,1.2981e+06,1192681.7,1184099.9,1121224.3,1165652.6
BHmean-50,unixbench-fsdisk-w-1,1.51643e+06,1487573.6,1503081.2,1520708.7,1456906.8
BHmean-50,unixbench-fsdisk-w-8,1.2981e+06,1192681.7,1184099.9,1121224.3,1165652.6
BHmean-95,unixbench-fsdisk-w-1,1.51427e+06,1485474.04086192,1499484.01172823,1518802.16273613,1455379.70100306
BHmean-95,unixbench-fsdisk-w-8,1.29644e+06,1191601.37232786,1182086.43206946,1119257.80704573,1165336.21414865
BHmean-99,unixbench-fsdisk-w-1,1.51427e+06,1485474.04086192,1499484.01172823,1518802.16273613,1455379.70100306
BHmean-99,unixbench-fsdisk-w-8,1.29644e+06,1191601.37232786,1182086.43206946,1119257.80704573,1165336.21414865
