0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,unixbench-fsdisk-1,1.03959e+06,1016223.4,1035764.1,1055972.9,1002770.0
Min,unixbench-fsdisk-8,1.22313e+06,1108416.4,1121755.6,1013249.2,1037205.9
Hmean,unixbench-fsdisk-1,1.04263e+06,1017521.4028632,1041017.66601435,1063055.43744137,1005149.90287
Hmean,unixbench-fsdisk-8,1.23489e+06,1126302.06063064,1133053.60905116,1020002.8992233,1038769.28940262
Stddev,unixbench-fsdisk-1,3004.83,1125.48993035626,4798.31288822787,6752.95978244605,2455.16007013798
Stddev,unixbench-fsdisk-8,14215.6,16805.3384037137,14454.3392773012,5962.15120573103,2249.54371447482
CoeffVar,unixbench-fsdisk-1,0.289529,0.110610844017553,0.460918674057437,0.635223496822802,0.244257130190509
CoeffVar,unixbench-fsdisk-8,1.14662,1.49185871706702,1.27556014275229,0.584509614138444,0.216557874057011
Max,unixbench-fsdisk-1,1.04539e+06,1018210.4,1045152.3,1069410.2,1007674.6
Max,unixbench-fsdisk-8,1.25042e+06,1141658.9,1149426.9,1024464.2,1041350.2
BHmean-50,unixbench-fsdisk-1,1.04539e+06,1018210.4,1045152.3,1069410.2,1007674.6
BHmean-50,unixbench-fsdisk-8,1.25042e+06,1141658.9,1149426.9,1024464.2,1041350.2
BHmean-95,unixbench-fsdisk-1,1.04416e+06,1018171.64852524,1043664.48504826,1066632.45361713,1006344.09555687
BHmean-95,unixbench-fsdisk-8,1.24088e+06,1135463.10687107,1138788.38831974,1023413.62374982,1039552.75281968
BHmean-99,unixbench-fsdisk-1,1.04416e+06,1018171.64852524,1043664.48504826,1066632.45361713,1006344.09555687
BHmean-99,unixbench-fsdisk-8,1.24088e+06,1135463.10687107,1138788.38831974,1023413.62374982,1039552.75281968
