0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min unixbench-fsbuffer-w-1 102100 101703.2 101880.0 104691.5 98963.9
Min unixbench-fsbuffer-w-8 87364.2 81396.1 79453.5 75520.3 78802.0
Hmean unixbench-fsbuffer-w-1 102709 101954.654893658 102518.929024733 104812.224364176 99465.4458228383
Hmean unixbench-fsbuffer-w-8 88156.6 81871.1777571541 80453.4242066584 76345.7473158381 79361.515335637
Stddev unixbench-fsbuffer-w-1 579.174 218.224066805964 558.950358559087 130.905856757184 470.847877061519
Stddev unixbench-fsbuffer-w-8 747.532 593.102219969992 1322.3603026407 1039.82789120764 589.665128130648
CoeffVar unixbench-fsbuffer-w-1 0.562381 0.214039662745837 0.54520589956632 0.12489547040315 0.473371261465973
CoeffVar unixbench-fsbuffer-w-8 0.852463 0.724408210788026 1.6433409421417 1.36183102014661 0.742984109335266
Max unixbench-fsbuffer-w-1 103225 102089.9 102907.0 104951.4 99897.1
Max unixbench-fsbuffer-w-8 88800.8 82537.8 81963.4 77519.9 79978.0
BHmean-50 unixbench-fsbuffer-w-1 103225 102089.9 102907 104951.4 99897.1
BHmean-50 unixbench-fsbuffer-w-8 88800.8 82537.8 81963.4 77519.9 79978
BHmean-95 unixbench-fsbuffer-w-1 103016 102080.84919767 102841.408219157 104872.691015922 99718.1299406479
BHmean-95 unixbench-fsbuffer-w-8 88560.9 82110.8023572394 80962.8841277457 76765.274847325 79644.2631505927
BHmean-99 unixbench-fsbuffer-w-1 103016 102080.84919767 102841.408219157 104872.691015922 99718.1299406479
BHmean-99 unixbench-fsbuffer-w-8 88560.9 82110.8023572394 80962.8841277457 76765.274847325 79644.2631505927
