0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min unixbench-fsbuffer-1 77055.1 76821.5 76719.0 78341.6 75863.3
Min unixbench-fsbuffer-8 84807 77320.1 75955.8 69719.9 73575.1
Hmean unixbench-fsbuffer-1 77390.5 76916.731532292 76779.6779782391 78422.2516348091 76113.5818534657
Hmean unixbench-fsbuffer-8 85280.5 77565.8722093013 77059.0657178883 70805.297654409 73704.1475026129
Stddev unixbench-fsbuffer-1 346.243 88.8665853963093 79.8649693753968 75.4194272054592 335.682235653502
Stddev unixbench-fsbuffer-8 588.618 247.813619480443 1558.9080034862 973.050360121888 197.559003844416
CoeffVar unixbench-fsbuffer-1 0.449885 0.115535988751884 0.104018294813124 0.0961708942551535 0.441022330355733
CoeffVar unixbench-fsbuffer-8 0.690134 0.319485781833942 2.02245809561105 1.37408802763175 0.268041983656922
Max unixbench-fsbuffer-1 77705.8 76997.4 76870.2 78491.0 76495.8
Max unixbench-fsbuffer-8 85922.9 77815.7 78859.5 71581.9 73931.9
BHmean-50 unixbench-fsbuffer-1 77705.8 76997.4 76870.2 78491 76495.8
BHmean-50 unixbench-fsbuffer-8 85922.9 77815.7 78859.5 71581.9 73931.9
BHmean-95 unixbench-fsbuffer-1 77559.6 76964.4358934547 76810.0529748041 78462.6397566231 76239.3430851441
BHmean-95 unixbench-fsbuffer-8 85519.4 77689.3451613505 77622.8052874801 71360.7689852154 73768.8411606741
BHmean-99 unixbench-fsbuffer-1 77559.6 76964.4358934547 76810.0529748041 78462.6397566231 76239.3430851441
BHmean-99 unixbench-fsbuffer-8 85519.4 77689.3451613505 77622.8052874801 71360.7689852154 73768.8411606741
