0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min unixbench-fstime-w-1 407133 404175.9 404482.4 407608.8 394068.4
Min unixbench-fstime-w-8 345985 316279.6 312393.4 299527.2 312387.5
Hmean unixbench-fstime-w-1 407952 405537.385607445 405386.659696067 409732.441335669 394995.958967993
Hmean unixbench-fstime-w-8 350160 317413.785932084 317050.92862225 301965.558178852 315656.265142543
Stddev unixbench-fstime-w-1 949.691 1497.03932591409 1251.99142302707 2042.43071934726 965.945093332592
Stddev unixbench-fstime-w-8 4811.21 1873.55171087787 4065.26673827601 3193.88987651942 2846.54174452675
CoeffVar unixbench-fstime-w-1 0.232331 0.369146172598243 0.308836870859274 0.498470869565397 0.244544588717075
CoeffVar unixbench-fstime-w-8 1.36866 0.590241642452456 1.28207098168636 1.05762157074451 0.901736143548781
Max unixbench-fstime-w-1 408965 407142.0 406817.7 411680.5 395996.5
Max unixbench-fstime-w-8 355075 319583.4 319539.4 305597.3 317384.4
BHmean-50 unixbench-fstime-w-1 408965 407142 406817.7 411680.5 395996.5
BHmean-50 unixbench-fstime-w-8 355075 319583.4 319539.4 305597.3 317384.4
BHmean-95 unixbench-fstime-w-1 408363 406221.573885715 405840.307411062 410802.581803094 395461.377848977
BHmean-95 unixbench-fstime-w-8 352287 317983.934790037 319432.164024165 303199.685552078 317316.435449218
BHmean-99 unixbench-fstime-w-1 408363 406221.573885715 405840.307411062 410802.581803094 395461.377848977
BHmean-99 unixbench-fstime-w-8 352287 317983.934790037 319432.164024165 303199.685552078 317316.435449218
