0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min unixbench-fstime-1 302942 299265.3 299276.9 304675.8 296296.1
Min unixbench-fstime-8 333112 304321.0 300907.7 276406.5 290861.7
Hmean unixbench-fstime-1 303941 300011.299849099 300243.336970741 305010.290573696 296926.201267597
Hmean unixbench-fstime-8 336529 307438.570654216 302869.636097629 280547.39099653 291241.112447629
Stddev unixbench-fstime-1 1077.04 647.740490731706 838.333352551341 528.296422475127 710.316298090748
Stddev unixbench-fstime-8 3234.13 2816.39136544148 1873.08743077661 4377.3564035081 333.157280174597
CoeffVar unixbench-fstime-1 0.355776 0.215904692796985 0.279216517100321 0.173205751819075 0.239222266982522
CoeffVar unixbench-fstime-8 0.9609 0.916031201915121 0.618430968081562 1.5600385624632 0.114392156577092
Max unixbench-fstime-1 305038 300419.4 300734.8 305619.9 297696.5
Max unixbench-fstime-8 339370 309772.7 304636.0 285139.0 291484.9
BHmean-50 unixbench-fstime-1 305038 300419.4 300734.8 305619.9 297696.5
BHmean-50 unixbench-fstime-8 339370 309772.7 304636 285139 291484.9
BHmean-95 unixbench-fstime-1 304444 300385.696219228 300728.899884248 305177.811429018 297242.257947918
BHmean-95 unixbench-fstime-8 338264 309021.432417334 303860.229480337 282664.714159881 291431.190105075
BHmean-99 unixbench-fstime-1 304444 300385.696219228 300728.899884248 305177.811429018 297242.257947918
BHmean-99 unixbench-fstime-8 338264 309021.432417334 303860.229480337 282664.714159881 291431.190105075
