0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,1,31.45,31.53,31.54,34.1933,34.68
Min,3,15.7333,20.3467,20.36,25.1567,24.0933
Min,4,15.74,20.4367,20.4,23.8033,21.82
Amean,1,31.4652,31.5614,31.5657,39.6229,40.5638
Amean,3,15.8267,20.869,20.9743,27.4033,25.8995
Amean,4,15.8348,21.1067,20.8757,25.3271,23.0171
Stddev,1,0.0139946,0.0272668,0.0230977,3.10059,5.94248
Stddev,3,0.0949129,0.349144,0.398352,2.05895,1.15702
Stddev,4,0.0876503,0.404807,0.385966,1.40466,0.785364
CoeffVar,1,0.0444756,0.0863916,0.0731724,7.82232,14.5315
CoeffVar,3,0.599465,1.67172,1.89891,7.51485,4.46974
CoeffVar,4,0.553434,1.91492,1.84912,5.52762,3.41905
Max,1,31.4867,31.6033,31.6067,43.0167,51.1133
Max,3,15.9567,21.31,21.4233,30.68,27.1767
Max,4,15.9767,21.67,21.5167,28.0767,24.02
BAmean-50,1,31.4544,31.54,31.5489,36.9,36.2022
BAmean-50,3,15.7389,20.5433,20.6156,25.7567,24.8011
BAmean-50,4,15.7611,20.7611,20.5622,24.3422,22.3211
BAmean-95,1,31.4617,31.5544,31.5589,39.0572,38.8056
BAmean-95,3,15.805,20.7956,20.8994,26.8572,25.6867
BAmean-95,4,15.8111,21.0128,20.7689,24.8689,22.85
BAmean-99,1,31.4617,31.5544,31.5589,39.0572,38.8056
BAmean-99,3,15.805,20.7956,20.8994,26.8572,25.6867
BAmean-99,4,15.8111,21.0128,20.7689,24.8689,22.85
