0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,1,6.24667,6.29,6.28667,9.24,8.23667
Min,3,6.25333,6.29667,6.28333,8.48333,9.57
Min,4,6.25,6.28667,6.29667,9.16667,8.20333
Amean,1,6.25524,6.3019,6.30619,10.511,10.5267
Amean,3,6.26333,6.30714,6.30714,9.95857,11.101
Amean,4,6.2619,6.30857,6.31143,10.6386,10.5633
Stddev,1,0.0109152,0.00880412,0.0144072,1.19349,2.14613
Stddev,3,0.00854012,0.0104738,0.0153877,1.11428,1.35191
Stddev,4,0.0105638,0.0178162,0.0149429,1.20187,2.02553
CoeffVar,1,0.174721,0.139685,0.228366,11.2316,20.3143
CoeffVar,3,0.136691,0.166027,0.243934,11.1392,11.962
CoeffVar,4,0.168897,0.282367,0.236694,11.3528,19.21
Max,1,6.27,6.31333,6.32333,12.3467,13.7933
Max,3,6.27333,6.32667,6.32667,11.5267,13.2533
Max,4,6.27667,6.33667,6.34,12.7233,13.8667
BAmean-50,1,6.24667,6.29444,6.29333,9.51,8.64222
BAmean-50,3,6.25667,6.30111,6.29333,8.95667,9.97889
BAmean-50,4,6.25333,6.29333,6.30111,9.75222,8.97444
BAmean-95,1,6.25278,6.3,6.30333,10.205,9.98222
BAmean-95,3,6.26167,6.30389,6.30389,9.69722,10.7422
BAmean-95,4,6.25944,6.30389,6.30667,10.2911,10.0128
BAmean-99,1,6.25278,6.3,6.30333,10.205,9.98222
BAmean-99,3,6.26167,6.30389,6.30389,9.69722,10.7422
BAmean-99,4,6.25944,6.30389,6.30667,10.2911,10.0128
