0,1,16,22,28,34,40
Min,unixbench-pipe-1,706851,706700,703875,448907,593701
Min,unixbench-pipe-4,1.40091e+06,1.07368e+06,1.06682e+06,880096,891040
Hmean,unixbench-pipe-1,707189,707352,704490,481710,607256
Hmean,unixbench-pipe-4,1.40603e+06,1.09049e+06,1.07893e+06,888822,912614
Stddev,unixbench-pipe-1,340.93,632.433,589.014,47453.3,17284
Stddev,unixbench-pipe-4,5240.79,15100.3,13697,9681.4,19676.2
CoeffVar,unixbench-pipe-1,0.0482089,0.0893657,0.0836448,9.89255,2.83953
CoeffVar,unixbench-pipe-4,0.373203,1.38903,1.26485,1.08867,2.15161
Max,unixbench-pipe-1,707526,707946,705024,538865,625183
Max,unixbench-pipe-4,1.41102e+06,1.1018e+06,1.09383e+06,899034,927978
BHmean-50,unixbench-pipe-1,707526,707946,705024,538865,625183
BHmean-50,unixbench-pipe-4,1.41102e+06,1.1018e+06,1.09383e+06,899034,927978
BHmean-95,unixbench-pipe-1,707358,707678,704798,500518,614278
BHmean-95,unixbench-pipe-4,1.40861e+06,1.09912e+06,1.08511e+06,893250,923869
BHmean-99,unixbench-pipe-1,707358,707678,704798,500518,614278
BHmean-99,unixbench-pipe-4,1.40861e+06,1.09912e+06,1.08511e+06,893250,923869
