0 1 16 22 28 34 40
Min unixbench-dhry2reg-1 3.59094e+07 3.57243e+07 3.55696e+07 2.4398e+07 2.90672e+07
Min unixbench-dhry2reg-4 7.09467e+07 5.41883e+07 5.43428e+07 4.69157e+07 4.85417e+07
Hmean unixbench-dhry2reg-1 3.59657e+07 3.57564e+07 3.56853e+07 2.56911e+07 3.16803e+07
Hmean unixbench-dhry2reg-4 7.13739e+07 5.4838e+07 5.516e+07 4.77602e+07 4.88506e+07
Stddev unixbench-dhry2reg-1 57731.3 44094.2 100704 1.24259e+06 2.3715e+06
Stddev unixbench-dhry2reg-4 444050 800026 877698 905606 489143
CoeffVar unixbench-dhry2reg-1 0.160468 0.123363 0.282282 4.78904 7.45717
CoeffVar unixbench-dhry2reg-4 0.622829 1.45907 1.58777 1.89541 1.00015
Max unixbench-dhry2reg-1 3.60175e+07 3.58058e+07 3.57499e+07 2.67633e+07 3.32325e+07
Max unixbench-dhry2reg-4 7.17701e+07 5.57325e+07 5.60674e+07 4.87011e+07 4.94184e+07
BHmean-50 unixbench-dhry2reg-1 3.60175e+07 3.58058e+07 3.57499e+07 2.67633e+07 3.32325e+07
BHmean-50 unixbench-dhry2reg-4 7.17701e+07 5.57325e+07 5.60674e+07 4.87011e+07 4.94184e+07
BHmean-95 unixbench-dhry2reg-1 3.5994e+07 3.57726e+07 3.57435e+07 2.64151e+07 3.31728e+07
BHmean-95 unixbench-dhry2reg-4 7.15904e+07 5.51688e+07 5.5578e+07 4.81941e+07 4.9007e+07
BHmean-99 unixbench-dhry2reg-1 3.5994e+07 3.57726e+07 3.57435e+07 2.64151e+07 3.31728e+07
BHmean-99 unixbench-dhry2reg-4 7.15904e+07 5.51688e+07 5.5578e+07 4.81941e+07 4.9007e+07
