0 1 16 22 28 34 40
Min unixbench-execl-1 2698.27 2523.83 2532.83 1540.1 1539.4
Min unixbench-execl-4 5143.43 3625.87 3653.57 3338.77 2716.87
Hmean unixbench-execl-1 2705.97 2527.9 2536.98 1572.46 1753.19
Hmean unixbench-execl-4 5179.02 3654.69 3689.95 3413.72 2844.01
Stddev unixbench-execl-1 7.89872 4.5192 5.00905 30.7583 222.393
Stddev unixbench-execl-4 32.4903 28.4121 34.358 65.7675 134.263
CoeffVar unixbench-execl-1 0.292105 0.178881 0.197272 1.94033 12.5255
CoeffVar unixbench-execl-4 0.628147 0.777264 0.92743 1.92739 4.63516
Max unixbench-execl-1 2713.97 2532.7 2542.4 1597.57 1948.9
Max unixbench-execl-4 5206.23 3678.33 3720.87 3454.07 2982.83
BHmean-50 unixbench-execl-1 2713.97 2532.7 2542.4 1597.57 1948.9
BHmean-50 unixbench-execl-4 5206.23 3678.33 3720.87 3454.07 2982.83
BHmean-95 unixbench-execl-1 2709.84 2529.95 2539.06 1589.47 1886.62
BHmean-95 unixbench-execl-4 5197.01 3669.29 3708.48 3452.57 2912.26
BHmean-99 unixbench-execl-1 2709.84 2529.95 2539.06 1589.47 1886.62
BHmean-99 unixbench-execl-4 5197.01 3669.29 3708.48 3452.57 2912.26
