0 1 16 22 28 34 40
Min unixbench-spawn-1 7673.07 5204.3 5146.53 5555.07 4707.23
Min unixbench-spawn-4 15691 11778.7 11999.8 6197.8 5587.5
Hmean unixbench-spawn-1 7792.05 5269.8 5267.93 5904.9 5650.99
Hmean unixbench-spawn-4 15833.4 11980.8 12106.6 6896.64 6171.94
Stddev unixbench-spawn-1 119.265 82.1311 120.65 414.969 1079.94
Stddev unixbench-spawn-4 183.264 233.119 100.521 762.254 580.388
CoeffVar unixbench-spawn-1 1.53165 1.57451 2.28063 7.16979 20.0356
CoeffVar unixbench-spawn-4 1.15941 1.94328 0.825613 10.8809 9.5648
Max unixbench-spawn-1 7905.27 5361.7 5382.23 6350.27 6678.1
Max unixbench-spawn-4 16031.2 12202.5 12192.1 7604.77 6700.6
BHmean-50 unixbench-spawn-1 7905.27 5361.7 5382.23 6350.27 6678.1
BHmean-50 unixbench-spawn-4 16031.2 12202.5 12192.1 7604.77 6700.6
BHmean-95 unixbench-spawn-1 7853.33 5303.58 5331.15 6098.64 6513.57
BHmean-95 unixbench-spawn-4 15905.6 12084.5 12160.9 7311 6522.83
BHmean-99 unixbench-spawn-1 7853.33 5303.58 5331.15 6098.64 6513.57
BHmean-99 unixbench-spawn-4 15905.6 12084.5 12160.9 7311 6522.83
