0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST
Min,unixbench-fsdisk-r-1,3.69355e+06,3.57244e+06,3.50461e+06
Min,unixbench-fsdisk-r-4,6.29944e+06,4.87687e+06,4.84088e+06
Hmean,unixbench-fsdisk-r-1,3.71257e+06,3.62104e+06,3.51878e+06
Hmean,unixbench-fsdisk-r-4,6.38129e+06,4.96018e+06,4.92443e+06
Stddev,unixbench-fsdisk-r-1,20907.8,42525.4,20467.7
Stddev,unixbench-fsdisk-r-4,79904.5,78727.4,76017.5
CoeffVar,unixbench-fsdisk-r-1,0.563442,1.1735,0.581098
CoeffVar,unixbench-fsdisk-r-4,1.25302,1.58393,1.5382
Max,unixbench-fsdisk-r-1,3.73427e+06,3.64828e+06,3.54186e+06
Max,unixbench-fsdisk-r-4,6.45049e+06,5.0264e+06,4.9878e+06
BHmean-50,unixbench-fsdisk-r-1,3.73427e+06,3.64828e+06,3.54186e+06
BHmean-50,unixbench-fsdisk-r-4,6.45049e+06,5.0264e+06,4.9878e+06
BHmean-95,unixbench-fsdisk-r-1,3.72216e+06,3.64585e+06,3.52592e+06
BHmean-95,unixbench-fsdisk-r-4,6.42304e+06,5.00304e+06,4.96768e+06
BHmean-99,unixbench-fsdisk-r-1,3.72216e+06,3.64585e+06,3.52592e+06
BHmean-99,unixbench-fsdisk-r-4,6.42304e+06,5.00304e+06,4.96768e+06
