0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,1,22.61,22.61,22.61
Min,3,11.6333,11.6233,11.59
Min,4,11.7067,11.7133,11.7
Amean,1,22.6214,22.6224,22.62
Amean,3,11.709,11.7176,11.6914285714286
Amean,4,11.711,11.7205,11.71
Stddev,1,0.00945577,0.00815051,0.00816496580927709
Stddev,3,0.0467105,0.0583738,0.0448807944925861
Stddev,4,0.00444426,0.00510888,0.00577350269189665
CoeffVar,1,0.0417999,0.0360294,0.0360962237368571
CoeffVar,3,0.398847,0.498075,0.383877763255257
CoeffVar,4,0.0379501,0.0435898,0.0493040366515512
Max,1,22.6367,22.63,22.63
Max,3,11.7467,11.79,11.71
Max,4,11.72,11.73,11.72
BAmean-50,1,22.6144,22.6156,22.6133333333333
BAmean-50,3,11.6833,11.6711,11.6666666666667
BAmean-50,4,11.7089,11.7178,11.7066666666667
BAmean-95,1,22.6189,22.6211,22.6183333333333
BAmean-95,3,11.7028,11.7056,11.6883333333333
BAmean-95,4,11.7094,11.7189,11.7083333333333
BAmean-99,1,22.6189,22.6211,22.6183333333333
BAmean-99,3,11.7028,11.7056,11.6883333333333
BAmean-99,4,11.7094,11.7189,11.7083333333333
