0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,1,22.59,22.6,22.59
Min,3,7.53333,7.53,7.54
Min,5,5.80333,5.81,5.81
Min,7,5.8,5.81,5.81
Min,8,5.80667,5.81,5.81
Amean,1,22.6043,22.62,22.6071428571429
Amean,3,7.54143,7.54142857142857,7.57571428571429
Amean,5,5.80905,5.81428571428571,5.81142857142857
Amean,7,5.80857,5.81142857142857,5.81428571428571
Amean,8,5.8119,5.81285714285714,5.81
Stddev,1,0.0106803,0.0115470053837918,0.00951189731211339
Stddev,3,0.00709735,0.00690065559342339,0.0732250282478933
Stddev,5,0.00496612,0.00534522483824885,0.00377964473009253
Stddev,7,0.00604074,0.00377964473009253,0.00534522483824885
Stddev,8,0.00695028,0.004879500364743,9.59342338666363E-16
CoeffVar,1,0.0472477,0.0510477691591147,0.0420747432447354
CoeffVar,3,0.094111,0.0915032944761579,0.966575896163027
CoeffVar,5,0.0854928,0.0919326139256559,0.0650381344902844
CoeffVar,7,0.103987,0.0650381344902844,0.0919326139256559
CoeffVar,8,0.119575,0.0839432355694298,1.65119163281646E-14
Max,1,22.62,22.63,22.62
Max,3,7.55333,7.55,7.74
Max,5,5.81667,5.82,5.82
Max,7,5.81667,5.82,5.82
Max,8,5.82333,5.82,5.81
BAmean-50,1,22.5956,22.61,22.6
BAmean-50,3,7.53667,7.53666666666667,7.54
BAmean-50,5,5.80556,5.81,5.81
BAmean-50,7,5.80444,5.81,5.81
BAmean-50,8,5.80667,5.81,5.81
BAmean-95,1,22.6017,22.6183333333333,22.605
BAmean-95,3,7.53944,7.54,7.54833333333333
BAmean-95,5,5.80778,5.81333333333333,5.81
BAmean-95,7,5.80722,5.81,5.81333333333333
BAmean-95,8,5.81,5.81166666666667,5.81
BAmean-99,1,22.6017,22.6183333333333,22.605
BAmean-99,3,7.53944,7.54,7.54833333333333
BAmean-99,5,5.80778,5.81333333333333,5.81
BAmean-99,7,5.80722,5.81,5.81333333333333
BAmean-99,8,5.81,5.81166666666667,5.81
