0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,unixbench-execl-1,4261.17,4181.0,4176.1
Min,unixbench-execl-8,15643.3,15227.2,15311.1
Hmean,unixbench-execl-1,4265.26,4182.46640787026,4184.75573755051
Hmean,unixbench-execl-8,15659,15254.3688085272,15317.4978206066
Stddev,unixbench-execl-1,3.84842,1.27410099024124,8.28150549920323
Stddev,unixbench-execl-8,14.8841,26.714041251746,7.07672240518175
CoeffVar,unixbench-execl-1,0.09028,0.0304629084170723,0.197896469716429
CoeffVar,unixbench-execl-8,0.0948731,0.17512351355508,0.0462002441989995
Max,unixbench-execl-1,4268.7,4183.3,4192.6
Max,unixbench-execl-8,15672.1,15280.6,15325.1
BHmean-50,unixbench-execl-1,4268.7,4183.3,4192.6
BHmean-50,unixbench-execl-8,15672.1,15280.6,15325.1
BHmean-95,unixbench-execl-1,4267.32,4183.19999760949,4189.09707574419
BHmean-95,unixbench-execl-8,15666.8,15267.9896017815,15320.6987363502
BHmean-99,unixbench-execl-1,4267.32,4183.19999760949,4189.09707574419
BHmean-99,unixbench-execl-8,15666.8,15267.9896017815,15320.6987363502
