0 1 4 8 10
Min unixbench-dhry2reg-1 4.84315e+07 48407470.1 48401268.5
Min unixbench-dhry2reg-8 1.89296e+08 189682741.8 189303618.4
Hmean unixbench-dhry2reg-1 4.86774e+07 48753516.2416094 48417559.3956971
Hmean unixbench-dhry2reg-8 1.89862e+08 189873471.784089 189545391.443496
Stddev unixbench-dhry2reg-1 316430 302195.688076358 15412.4768691911
Stddev unixbench-dhry2reg-8 724233 217484.302164631 367998.558747921
CoeffVar unixbench-dhry2reg-1 0.650051 0.619827952468574 0.0318324096057853
CoeffVar unixbench-dhry2reg-8 0.381321 0.114541599710495 0.194147497974678
Max unixbench-dhry2reg-1 48986716 48957739.5 48431908.1
Max unixbench-dhry2reg-8 1.90678e+08 190110395.6 189969331.8
BHmean-50 unixbench-dhry2reg-1 48986716 48957739.5 48431908.1
BHmean-50 unixbench-dhry2reg-8 1.90678e+08 190110395.6 189969331.8
BHmean-95 unixbench-dhry2reg-1 4.88014e+07 48928401.2794237 48425708.9566292
BHmean-95 unixbench-dhry2reg-8 1.90146e+08 189968980.685742 189666509.702322
BHmean-99 unixbench-dhry2reg-1 4.88014e+07 48928401.2794237 48425708.9566292
BHmean-99 unixbench-dhry2reg-8 1.90146e+08 189968980.685742 189666509.702322
