0 1 4 8 10
Min unixbench-pipe-1 922642 920881.6 918811.4
Min unixbench-pipe-8 3.56562e+06 3568236.9 3572208.5
Hmean unixbench-pipe-1 924231 923934.155069792 922152.116921359
Hmean unixbench-pipe-8 3.56936e+06 3570444.62034598 3573030.84163259
Stddev unixbench-pipe-1 1787.85 3476.63141752664 3301.88596259772
Stddev unixbench-pipe-8 3819.59 3669.69977564033 1013.68153447387
CoeffVar unixbench-pipe-1 0.193182 0.376282077924296 0.358059985533716
CoeffVar unixbench-pipe-8 0.106941 0.102779837891461 0.0283703534902744
Max unixbench-pipe-1 926103 927722.6 925413.1
Max unixbench-pipe-8 3.57306e+06 3574683.2 3574163.5
BHmean-50 unixbench-pipe-1 926103 927722.6 925413.1
BHmean-50 unixbench-pipe-8 3.57306e+06 3574683.2 3574163.5
BHmean-95 unixbench-pipe-1 925028 925468.034202427 923831.601886886
BHmean-95 unixbench-pipe-8 3.57123e+06 3571549.50529764 3573442.15444583
BHmean-99 unixbench-pipe-1 925028 925468.034202427 923831.601886886
BHmean-99 unixbench-pipe-8 3.57123e+06 3571549.50529764 3573442.15444583
