0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,unixbench-fsbuffer-w-1,135884,133888.1,134042.4
Min,unixbench-fsbuffer-w-8,99481.4,98403.8,103531.4
Hmean,unixbench-fsbuffer-w-1,136230,134000.61677176,134449.316621343
Hmean,unixbench-fsbuffer-w-8,100214,101182.022260994,103734.782764918
Stddev,unixbench-fsbuffer-w-1,358.344,129.360233456806,371.066948137402
Stddev,unixbench-fsbuffer-w-8,737.859,2826.85856089995,222.229138503488
CoeffVar,unixbench-fsbuffer-w-1,0.263287,0.0965369833566586,0.27598880486233
CoeffVar,unixbench-fsbuffer-w-8,0.734386,2.79238195173585,0.214227526173386
Max,unixbench-fsbuffer-w-1,136576,134142.0,134768.2
Max,unixbench-fsbuffer-w-8,100955,104057.5,103972.1
BHmean-50,unixbench-fsbuffer-w-1,136576,134142,134768.2
BHmean-50,unixbench-fsbuffer-w-8,100955,104057.5,103972.1
BHmean-95,unixbench-fsbuffer-w-1,136404,134056.946105015,134653.702807347
BHmean-95,unixbench-fsbuffer-w-8,100586,102630.803625618,103836.774094193
BHmean-99,unixbench-fsbuffer-w-1,136404,134056.946105015,134653.702807347
BHmean-99,unixbench-fsbuffer-w-8,100586,102630.803625618,103836.774094193
