0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,unixbench-fsbuffer-1,104245,103498.0,103347.9
Min,unixbench-fsbuffer-8,99697.7,100029.9,103513.9
Hmean,unixbench-fsbuffer-1,104505,103619.487954677,103386.885453385
Hmean,unixbench-fsbuffer-8,100327,102164.746996725,104448.999144317
Stddev,unixbench-fsbuffer-1,295.388,110.58780824907,47.5006315747526
Stddev,unixbench-fsbuffer-8,859.036,1869.88325036619,964.552851498213
CoeffVar,unixbench-fsbuffer-1,0.28267,0.106724831811756,0.0459445360821851
CoeffVar,unixbench-fsbuffer-8,0.857474,1.82984979651797,0.923415314832629
Max,unixbench-fsbuffer-1,104795,103714.2,103439.8
Max,unixbench-fsbuffer-8,101297,103330.5,105441.4
BHmean-50,unixbench-fsbuffer-1,104795,103714.2,103439.8
BHmean-50,unixbench-fsbuffer-8,101297,103330.5,105441.4
BHmean-95,unixbench-fsbuffer-1,104635,103680.338948509,103406.389211886
BHmean-95,unixbench-fsbuffer-8,100647,103266.710645004,104922.912918648
BHmean-99,unixbench-fsbuffer-1,104635,103680.338948509,103406.389211886
BHmean-99,unixbench-fsbuffer-8,100647,103266.710645004,104922.912918648
