0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,unixbench-fsdisk-w-1,1.96912e+06,1963852.0,1956027.9
Min,unixbench-fsdisk-w-8,1.24546e+06,1243074.1,1149569.5
Hmean,unixbench-fsdisk-w-1,1.97465e+06,1968852.56387023,1971529.56990434
Hmean,unixbench-fsdisk-w-8,1.27511e+06,1244346.64277239,1213765.48654327
Stddev,unixbench-fsdisk-w-1,6371.7,5261.23130201796,13661.254509012
Stddev,unixbench-fsdisk-w-8,32280.3,1188.72253701185,102992.079813741
CoeffVar,unixbench-fsdisk-w-1,0.32289,0.267221952588141,0.692904428140923
CoeffVar,unixbench-fsdisk-w-8,2.53819,0.0955297963423924,8.44675863628495
Max,unixbench-fsdisk-w-1,1.9807e+06,1974342.8,1981595.3
Max,unixbench-fsdisk-w-8,1306926,1245428.0,1337603.3
BHmean-50,unixbench-fsdisk-w-1,1.9807e+06,1974342.8,1981595.3
BHmean-50,unixbench-fsdisk-w-8,1306926,1245428,1337603.3
BHmean-95,unixbench-fsdisk-w-1,1.97743e+06,1971362.40769529,1979372.91034796
BHmean-95,unixbench-fsdisk-w-8,1.29052e+06,1244983.89169146,1248629.40583412
BHmean-99,unixbench-fsdisk-w-1,1.97743e+06,1971362.40769529,1979372.91034796
BHmean-99,unixbench-fsdisk-w-8,1.29052e+06,1244983.89169146,1248629.40583412
