0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,unixbench-fstime-r-1,1.83086e+06,1860992.0,1866728.5
Min,unixbench-fstime-r-8,7.1705e+06,7241720.3,7236077.2
Hmean,unixbench-fstime-r-1,1.84478e+06,1868703.09647371,1874014.29749962
Hmean,unixbench-fstime-r-8,7.1937e+06,7264957.33466315,7263196.95786792
Stddev,unixbench-fstime-r-1,12585.7,6697.7825288175,7752.98640804513
Stddev,unixbench-fstime-r-8,22106.8,23272.0139913445,31540.0307332336
CoeffVar,unixbench-fstime-r-1,0.681633,0.358415687480564,0.41370538170361
CoeffVar,unixbench-fstime-r-8,0.307466,0.320330233468016,0.434239013436452
Max,unixbench-fstime-r-1,1.85453e+06,1872863.5,1882168.4
Max,unixbench-fstime-r-8,7.21246e+06,7288264.3,7297856.6
BHmean-50,unixbench-fstime-r-1,1.85453e+06,1872863.5,1882168.4
BHmean-50,unixbench-fstime-r-8,7.21246e+06,7288264.3,7297856.6
BHmean-95,unixbench-fstime-r-1,1.85184e+06,1872582.65789311,1877678.56517304
BHmean-95,unixbench-fstime-r-8,7.20537e+06,7276631.86363151,7276833.21058205
BHmean-99,unixbench-fstime-r-1,1.85184e+06,1872582.65789311,1877678.56517304
BHmean-99,unixbench-fstime-r-8,7.20537e+06,7276631.86363151,7276833.21058205
