0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,unixbench-fstime-w-1,537161,531591.0,533039.0
Min,unixbench-fstime-w-8,380548,369585.9,374480.5
Hmean,unixbench-fstime-w-1,539040,532460.590844608,533306.016173693
Hmean,unixbench-fstime-w-8,390174,386408.416770689,382587.827820665
Stddev,unixbench-fstime-w-1,1773.9,1472.15456729244,416.888238420475
Stddev,unixbench-fstime-w-8,8836.01,15493.273657408,12035.2301516561
CoeffVar,unixbench-fstime-w-1,0.32913,0.276480006658194,0.0781705167432212
CoeffVar,unixbench-fstime-w-8,2.33748,4.00520031526632,3.14370496590257
Max,unixbench-fstime-w-1,540593,534163.0,533786.6
Max,unixbench-fstime-w-8,396355,399579.6,396630.6
BHmean-50,unixbench-fstime-w-1,540593,534163,533786.6
BHmean-50,unixbench-fstime-w-8,396355,399579.6,396630.6
BHmean-95,unixbench-fstime-w-1,539987,532896.454015293,533439.624603336
BHmean-95,unixbench-fstime-w-8,395485,395407.334915107,386774.572189785
BHmean-99,unixbench-fstime-w-1,539987,532896.454015293,533439.624603336
BHmean-99,unixbench-fstime-w-8,395485,395407.334915107,386774.572189785
