0 1 4 8 10
Min unixbench-fsbuffer-r-1 472388 480481.1 474724.7
Min unixbench-fsbuffer-r-8 1.84784e+06 1865770.4 1845185.3
Hmean unixbench-fsbuffer-r-1 474543 481809.029359104 476450.738419434
Hmean unixbench-fsbuffer-r-8 1.85177e+06 1872139.98297037 1860702.39470279
Stddev unixbench-fsbuffer-r-1 2333.61 1465.77348522888 2373.36619804024
Stddev unixbench-fsbuffer-r-8 3908.02 5532.24569139881 14030.6640699338
CoeffVar unixbench-fsbuffer-r-1 0.492239 0.304221041657095 0.498126426522733
CoeffVar unixbench-fsbuffer-r-8 0.210973 0.295502124930144 0.754023358280099
Max unixbench-fsbuffer-r-1 476925 483383.0 479163.5
Max unixbench-fsbuffer-r-8 1.85525e+06 1875610.7 1872391.2
BHmean-50 unixbench-fsbuffer-r-1 476925 483383 479163.5
BHmean-50 unixbench-fsbuffer-r-8 1.85525e+06 1875610.7 1872391.2
BHmean-95 unixbench-fsbuffer-r-1 475634 482475.750395588 477318.472942837
BHmean-95 unixbench-fsbuffer-r-8 1.85374e+06 1875341.11125654 1868559.22361602
BHmean-99 unixbench-fsbuffer-r-1 475634 482475.750395588 477318.472942837
BHmean-99 unixbench-fsbuffer-r-8 1.85374e+06 1875341.11125654 1868559.22361602
