0 1 4 8 10
Min unixbench-fsdisk-r-1 5.83415e+06 5923219.8 5840201.9
Min unixbench-fsdisk-r-8 2.07857e+07 20983707.7 20603465.8
Hmean unixbench-fsdisk-r-1 5.88405e+06 5946185.55016143 5891676.37075668
Hmean unixbench-fsdisk-r-8 2.0841e+07 21085005.8419933 20712631.1563506
Stddev unixbench-fsdisk-r-1 60334.3 35617.4613414545 46775.5110747419
Stddev unixbench-fsdisk-r-8 51221.6 91535.0981907485 131056.845352706
CoeffVar unixbench-fsdisk-r-1 1.02501 0.598982523909414 0.793891872707955
CoeffVar unixbench-fsdisk-r-8 0.245496 0.434118666639433 0.63272191174953
Max unixbench-fsdisk-r-1 5.94906e+06 5987345.2 5931258.8
Max unixbench-fsdisk-r-8 2.08852e+07 21161396.9 20858304.9
BHmean-50 unixbench-fsdisk-r-1 5.94906e+06 5987345.2 5931258.8
BHmean-50 unixbench-fsdisk-r-8 2.08852e+07 21161396.9 20858304.9
BHmean-95 unixbench-fsdisk-r-1 5.90933e+06 5957735.33776977 5917755.37721274
BHmean-95 unixbench-fsdisk-r-8 2.08687e+07 21136022.5604186 20767648.7879109
BHmean-99 unixbench-fsdisk-r-1 5.90933e+06 5957735.33776977 5917755.37721274
BHmean-99 unixbench-fsdisk-r-8 2.08687e+07 21136022.5604186 20767648.7879109
