0 1 4 8 10
Min unixbench-fstime-1 408447 405914.8 404591.9
Min unixbench-fstime-8 392427 397607.5 407807.6
Hmean unixbench-fstime-1 409650 407743.696410974 405583.8684793
Hmean unixbench-fstime-8 396127 406665.729544291 411647.0465834
Stddev unixbench-fstime-1 1264.09 1633.48083653693 865.074545920747
Stddev unixbench-fstime-8 3277.2 8001.01471460547 3441.7877752703
CoeffVar unixbench-fstime-1 0.308722 0.400610320458563 0.213290514350933
CoeffVar unixbench-fstime-8 0.82631 1.96695428991314 0.836062552429067
Max unixbench-fstime-1 410873 409048.9 406174.0
Max unixbench-fstime-8 398466 412368.0 414419.5
BHmean-50 unixbench-fstime-1 410873 409048.9 406174
BHmean-50 unixbench-fstime-8 398466 412368 414419.5
BHmean-95 unixbench-fstime-1 410255 408664.338800122 406081.679020749
BHmean-95 unixbench-fstime-8 398008 411351.39996582 413594.008955607
BHmean-99 unixbench-fstime-1 410255 408664.338800122 406081.679020749
BHmean-99 unixbench-fstime-8 398008 411351.39996582 413594.008955607
